code_interne;type;ICDCode;category;source
ecodesmachinery;diagnosis;W28;Traumatologie;diagnosis
ecodesmotorvehicletrafficmvt;diagnosis;V89;Traumatologie;diagnosis
ecodesnaturalenvironment;diagnosis;W53;Autre;diagnosis
ecodesotherspecifiedandclassifiable;diagnosis;X59;Autre;diagnosis
ecodesotherspecifiednec;diagnosis;X58;Autre;diagnosis
ecodespedalcyclistnotmvt;diagnosis;V19;Traumatologie;diagnosis
ecodesplaceofoccurrence;diagnosis;Y92;Autre;diagnosis
ecodespoisoning;diagnosis;T50;Autre;diagnosis
ecodesstruckbyagainst;diagnosis;W50;Traumatologie;diagnosis
ecodessuffocation;diagnosis;T71;Autre;diagnosis
ecodestransportnotmvt;diagnosis;V99;Traumatologie;diagnosis
ecodesunspecified;diagnosis;Y34;Autre;diagnosis
ectopicpreg;diagnosis;O00;Gynécologie;diagnosis
encephalitis;diagnosis;G04;Neurologie;diagnosis
endometrios;diagnosis;N80;Gynécologie;diagnosis
epilepsycnv;diagnosis;G40;Neurologie;diagnosis
esophcancer;diagnosis;C15;Oncologie;diagnosis
esophgealdx;diagnosis;K22;Gastroentérologie;diagnosis
exameval;diagnosis;Z01;Autre;diagnosis
eyeinfectn;diagnosis;H10;Ophtalmologie;diagnosis
fatigue;diagnosis;R53;Autre;diagnosis
femgenitca;diagnosis;C57;Gynécologie;diagnosis
feminfertil;diagnosis;N97;Gynécologie;diagnosis
fetaldistrs;diagnosis;O68;Gynécologie;diagnosis
fluidelcdx;diagnosis;E87;Autre;diagnosis
fuo;diagnosis;R50;Autre;diagnosis
fxarm;diagnosis;S52;Traumatologie;diagnosis
fxhip;diagnosis;S72;Traumatologie;diagnosis
fxleg;diagnosis;S82;Traumatologie;diagnosis
fxskullfac;diagnosis;S02;Traumatologie;diagnosis
gangrene;diagnosis;I96;Chirurgie vasculaire;diagnosis
gasduoulcer;diagnosis;K25;Gastroentérologie;diagnosis
gastritis;diagnosis;K29;Gastroentérologie;diagnosis
gastroent;diagnosis;K31;Gastroentérologie;diagnosis
giconganom;diagnosis;Q38;Gastroentérologie;diagnosis
gihemorrhag;diagnosis;K92;Gastroentérologie;diagnosis
giperitcan;diagnosis;C81;Oncologie;diagnosis
glaucoma;diagnosis;H40;Ophtalmologie;diagnosis
goutotcrys;diagnosis;M10;Rhumatologie;diagnosis
headinjury;diagnosis;S06;Traumatologie;diagnosis
headneoplasm;diagnosis;C71;Oncologie;diagnosis
heartvalvedx;diagnosis;I34;Cardiologie;diagnosis
hemjoinhnddx;diagnosis;M25;Rhumatologie;diagnosis
hemolytanem;diagnosis;D58;Hématologie;diagnosis
hemoperitne;diagnosis;K66;Chirurgie;diagnosis
hemorrhoids;diagnosis;I84;Gastroentérologie;diagnosis
hepatitis;diagnosis;B18;Hépatologie;diagnosis
herniateddisc;diagnosis;M51;Neurologie;diagnosis
hernianerec;diagnosis;K40;Chirurgie;diagnosis
herpessimplex;diagnosis;B00;Infectiologie;diagnosis
herpeszoster;diagnosis;B02;Infectiologie;diagnosis
hiparthropathies;diagnosis;M16;Rhumatologie;diagnosis
hiv;diagnosis;B24;Infectiologie;diagnosis
hodgkinlymphoma;diagnosis;C81;Hématologie;diagnosis
hydrocephalus;diagnosis;G91;Neurologie;diagnosis
hypercalcemia;diagnosis;E83;Endocrinologie;diagnosis
hyperglycemia;diagnosis;R73;Endocrinologie;diagnosis
hyperkalemia;diagnosis;E87;Endocrinologie;diagnosis
hyperlipidemia;diagnosis;E78;Endocrinologie;diagnosis
hypernatremia;diagnosis;E87;Endocrinologie;diagnosis
hyperparathyroidism;diagnosis;E21;Endocrinologie;diagnosis
hyperphosphatemia;diagnosis;E83;Endocrinologie;diagnosis
hypersomnolence;diagnosis;G47;Neurologie;diagnosis
hypertension;diagnosis;I10;Cardiologie;diagnosis
hypokalemia;diagnosis;E87;Endocrinologie;diagnosis
hyponatremia;diagnosis;E87;Endocrinologie;diagnosis
hypoparathyroidism;diagnosis;E20;Endocrinologie;diagnosis
hypophosphatemia;diagnosis;E83;Endocrinologie;diagnosis
hypotension;diagnosis;I95;Cardiologie;diagnosis
hypothyroidism;diagnosis;E03;Endocrinologie;diagnosis
ich;diagnosis;I61;Neurologie;diagnosis
ileus;diagnosis;K56;Gastroentérologie;diagnosis
impactedtooth;diagnosis;K01;Dentaire;diagnosis
infectarthr;diagnosis;M00;Infectiologie;diagnosis
infectiveendo;diagnosis;I33;Cardiologie;diagnosis
infofgravidut;diagnosis;O41;Gynécologie;diagnosis
infothrcvxtra;diagnosis;J86;Pneumologie;diagnosis
inguinalhernia;diagnosis;K40;Chirurgie;diagnosis
intestinalobstruction;diagnosis;K56;Gastroentérologie;diagnosis
intestperfat;diagnosis;K63;Gastroentérologie;diagnosis
intracranbleed;diagnosis;I61;Neurologie;diagnosis
intussusception;diagnosis;K56;Pédiatrie;diagnosis
irondefanemia;diagnosis;D50;Hématologie;diagnosis
ischemicstroke;diagnosis;I63;Neurologie;diagnosis
jaundice;diagnosis;R17;Hépatologie;diagnosis
jointdisorders;diagnosis;M25;Rhumatologie;diagnosis
juvenilerheumarthritis;diagnosis;M08;Rhumatologie;diagnosis
kidncancnephroblastoma;diagnosis;C64;Oncologie;diagnosis
kidneydx;diagnosis;N28;Néphrologie;diagnosis
lateeffectscerebrovascular;diagnosis;I69;Neurologie;diagnosis
lateeffectsinjury;diagnosis;T90;Traumatologie;diagnosis
lbriashiocolang;diagnosis;K83;Gastroentérologie;diagnosis
leukemia;diagnosis;C91;Hématologie;diagnosis
livercancer;diagnosis;C22;Oncologie;diagnosis
liverdisease;diagnosis;K76;Hépatologie;diagnosis
lungcancer;diagnosis;C34;Oncologie;diagnosis
lymphoma;diagnosis;C85;Hématologie;diagnosis
macularhole;diagnosis;H35;Ophtalmologie;diagnosis
malecancer;diagnosis;C60;Urologie;diagnosis
malenferti;diagnosis;N46;Urologie;diagnosis
malnutdish;diagnosis;E43;Endocrinologie;diagnosis
malnuteverg;diagnosis;E44;Endocrinologie;diagnosis
manicdisorder;diagnosis;F31;Psychiatrie;diagnosis
mastoiditis;diagnosis;H70;ORL;diagnosis
mechcomplicationofdevicegraftimplant;diagnosis;T82;Chirurgie;diagnosis
meningitis;diagnosis;G00;Neurologie;diagnosis
menopausaldisorders;diagnosis;N95;Gynécologie;diagnosis
menstrualdisorders;diagnosis;N92;Gynécologie;diagnosis
mentaldisorder;diagnosis;F99;Psychiatrie;diagnosis
metabolicdisorders;diagnosis;E88;Endocrinologie;diagnosis
migraine;diagnosis;G43;Neurologie;diagnosis
mitralvalvedx;diagnosis;I34;Cardiologie;diagnosis
multiplemyeloma;diagnosis;C90;Hématologie;diagnosis
multscler;diagnosis;G35;Neurologie;diagnosis
musculardystrophy;diagnosis;G71;Neurologie;diagnosis
myasthgravis;diagnosis;G70;Neurologie;diagnosis
myelodyspl;diagnosis;D46;Hématologie;diagnosis
myeloma;diagnosis;C90;Hématologie;diagnosis
myocarditis;diagnosis;I40;Cardiologie;diagnosis
myopathy;diagnosis;G72;Neurologie;diagnosis
myositis;diagnosis;M60;Neurologie;diagnosis
neonataljaundice;diagnosis;P59;Pédiatrie;diagnosis
nephroticsynd;diagnosis;N04;Néphrologie;diagnosis
neurofibromatosis;diagnosis;Q85;Neurologie;diagnosis
neutropenia;diagnosis;D70;Hématologie;diagnosis
nonrhemfever;diagnosis;I38;Infectiologie;diagnosis
obesity;diagnosis;E66;Nutrition;diagnosis
obsessivecompulsivedisorder;diagnosis;F42;Psychiatrie;diagnosis
oculariny;diagnosis;H05;Ophtalmologie;diagnosis
oesophvarix;diagnosis;I85;Gastroentérologie;diagnosis
osteoarthrosis;diagnosis;M15;Rhumatologie;diagnosis
osteomyelitis;diagnosis;M86;Rhumatologie;diagnosis
osteoporosis;diagnosis;M81;Rhumatologie;diagnosis
otitismedia;diagnosis;H66;ORL;diagnosis
ovariancyst;diagnosis;N83;Gynécologie;diagnosis
ovariancystneoplasm;diagnosis;D27;Gynécologie;diagnosis
ovarianmalignant;diagnosis;C56;Gynécologie;diagnosis
pancreatitis;diagnosis;K85;Gastroentérologie;diagnosis
paraplegia;diagnosis;G82;Neurologie;diagnosis
parkinsons;diagnosis;G20;Neurologie;diagnosis
patella;diagnosis;M22;Orthopédie;diagnosis
pepticulcer;diagnosis;K27;Gastroentérologie;diagnosis
pericarditis;diagnosis;I30;Cardiologie;diagnosis
peritonitis;diagnosis;K65;Gastroentérologie;diagnosis
perniciousanemia;diagnosis;D51;Hématologie;diagnosis
personalitydisorders;diagnosis;F60;Psychiatrie;diagnosis
perthes;diagnosis;M91;Orthopédie;diagnosis
pneumococcuspneumonia;diagnosis;J13;Pneumologie;diagnosis
pneumonitis;diagnosis;J69;Pneumologie;diagnosis
pneumothorax;diagnosis;J93;Pneumologie;diagnosis
poisoning;diagnosis;T50;Toxicologie;diagnosis
polymyalgia;diagnosis;M35;Rhumatologie;diagnosis
polyneuropathies;diagnosis;G62;Neurologie;diagnosis
polyparathyroiddis;diagnosis;E21;Endocrinologie;diagnosis
polysubstanceabuse;diagnosis;F19;Psychiatrie;diagnosis
posttraumaticstressdisorder;diagnosis;F43;Psychiatrie;diagnosis
precerebrallar;diagnosis;G45;Neurologie;diagnosis
preginducedhypertens;diagnosis;O13;Gynécologie;diagnosis
pregnantwithabortions;diagnosis;O03;Gynécologie;diagnosis
pregwithcomplications;diagnosis;O99;Gynécologie;diagnosis
pregwithdelivery;diagnosis;O80;Gynécologie;diagnosis
presbyopia;diagnosis;H52;Ophtalmologie;diagnosis
prostatahypertrophy;diagnosis;N40;Urologie;diagnosis
prostaticcancer;diagnosis;C61;Oncologie;diagnosis
psychdisord;diagnosis;F99;Psychiatrie;diagnosis
psychogenicdyspnea;diagnosis;F45;Psychiatrie;diagnosis
psychoticdis;diagnosis;F29;Psychiatrie;diagnosis
pulmonaryedema;diagnosis;J81;Pneumologie;diagnosis
pulmonaryembolism;diagnosis;I26;Cardiologie;diagnosis
pulmonaryfibrosis;diagnosis;J84;Pneumologie;diagnosis
pulmonaryheartdisease;diagnosis;I27;Cardiologie;diagnosis
pyelonephritis;diagnosis;N10;Néphrologie;diagnosis
quadriplegia;diagnosis;G82;Neurologie;diagnosis
radiculopathy;diagnosis;M54;Neurologie;diagnosis
rectalcancer;diagnosis;C20;Oncologie;diagnosis
renalcolic;diagnosis;N23;Néphrologie;diagnosis
renalfailure;diagnosis;N17;Néphrologie;diagnosis
respiratoryarrest;diagnosis;R09;Pneumologie;diagnosis
respiratoryinsufficiency;diagnosis;J96;Pneumologie;diagnosis
retinaldetachment;diagnosis;H33;Ophtalmologie;diagnosis
rhabdomyolysis;diagnosis;M62;Chirurgie;diagnosis
rheumaticfever;diagnosis;I00;Cardiologie;diagnosis
rheumatoidarthritis;diagnosis;M06;Rhumatologie;diagnosis
rickets;diagnosis;E55;Pédiatrie;diagnosis
scoliosis;diagnosis;M41;Orthopédie;diagnosis
seizure;diagnosis;R56;Neurologie;diagnosis
sepsis;diagnosis;A41;Infectiologie;diagnosis
severeproteinenergy;diagnosis;E43;Nutrition;diagnosis
shock;diagnosis;R57;Soins intensifs;diagnosis
shoulderdisorder;diagnosis;M75;Orthopédie;diagnosis
sicklecelldisease;diagnosis;D57;Hématologie;diagnosis
sinusitis;diagnosis;J01;ORL;diagnosis
skeletalmuscledisorders;diagnosis;M62;Orthopédie;diagnosis
skinabscess;diagnosis;L02;Dermatologie;diagnosis
skinulcer;diagnosis;L89;Dermatologie;diagnosis
sleepapnea;diagnosis;G47;Neurologie;diagnosis
slewithrenal;diagnosis;M32;Néphrologie;diagnosis
softtissue;diagnosis;M79;Orthopédie;diagnosis
spasticquadriplegiccp;diagnosis;G80;Neurologie;diagnosis
spinalcordinjury;diagnosis;S14;Neurologie;diagnosis
spinalstenosis;diagnosis;M48;Orthopédie;diagnosis
splenomegaly;diagnosis;R16;Hématologie;diagnosis
sspe;diagnosis;A81;Neurologie;diagnosis
statusasthmaticus;diagnosis;J46;Pneumologie;diagnosis
statusepilepticus;diagnosis;G41;Neurologie;diagnosis
stillsdisease;diagnosis;M06;Rhumatologie;diagnosis
stomachcancer;diagnosis;C16;Oncologie;diagnosis
strabismus;diagnosis;H50;Ophtalmologie;diagnosis
strepthroat;diagnosis;J02;ORL;diagnosis
stroke;diagnosis;I63;Neurologie;diagnosis
subarachnoidhemorrhage;diagnosis;I60;Neurologie;diagnosis
subduralhematoma;diagnosis;I62;Neurologie;diagnosis
suicidalideation;diagnosis;R45;Psychiatrie;diagnosis
suicideattempt;diagnosis;X60;Psychiatrie;diagnosis
syncope;diagnosis;R55;Cardiologie;diagnosis
systemicinfection;diagnosis;A49;Infectiologie;diagnosis
systemiclupuser;diagnosis;M32;Rhumatologie;diagnosis
tachycardia;diagnosis;R00;Cardiologie;diagnosis
tbi;diagnosis;S06;Traumatologie;diagnosis
tenosynovitis;diagnosis;M65;Rhumatologie;diagnosis
testicularcancer;diagnosis;C62;Oncologie;diagnosis
thrombocytopenia;diagnosis;D69;Hématologie;diagnosis
thrombophlebitis;diagnosis;I80;Chirurgie vasculaire;diagnosis
thyroidcancer;diagnosis;C73;Oncologie;diagnosis
thyroiddisorder;diagnosis;E06;Endocrinologie;diagnosis
ticdisorder;diagnosis;F95;Neurologie;diagnosis
tonsillitis;diagnosis;J03;ORL;diagnosis
toothdisorder;diagnosis;K08;Dentaire;diagnosis
torsiontestis;diagnosis;N44;Urologie;diagnosis
tourette;diagnosis;F95;Neurologie;diagnosis
tuberculosis;diagnosis;A15;Infectiologie;diagnosis
tumorneoplasms;diagnosis;C80;Oncologie;diagnosis
ulceratcolit;diagnosis;K51;Gastroentérologie;diagnosis
ulcerduodenal;diagnosis;K26;Gastroentérologie;diagnosis
ulcerstomach;diagnosis;K25;Gastroentérologie;diagnosis
ureteralobstruction;diagnosis;N13;Urologie;diagnosis
urinarytractinfection;diagnosis;N39;Urologie;diagnosis
uterinecancer;diagnosis;C54;Gynécologie;diagnosis
uterineprolapse;diagnosis;N81;Gynécologie;diagnosis
utiinfancy;diagnosis;N39;Pédiatrie;diagnosis
varicealhemorrhage;diagnosis;I85;Gastroentérologie;diagnosis
varicocele;diagnosis;I86;Urologie;diagnosis
vasculitis;diagnosis;I77;Chirurgie vasculaire;diagnosis
vertebralfracture;diagnosis;S32;Traumatologie;diagnosis
viralhepatitis;diagnosis;B18;Hépatologie;diagnosis
viralmeningitis;diagnosis;A87;Neurologie;diagnosis
vitdefanem;diagnosis;D51;Hématologie;diagnosis
wilmstumor;diagnosis;C64;Oncologie;diagnosis
wristfracture;diagnosis;S62;Traumatologie;diagnosis
anemiaofchronicdisease;diagnosis;D63;Hématologie;diagnosis
arterialocclusion;diagnosis;I74;Chirurgie vasculaire;diagnosis
autism;diagnosis;F84;Psychiatrie;diagnosis
bacterialendocarditis;diagnosis;I33;Cardiologie;diagnosis
bacterialinfection;diagnosis;A49;Infectiologie;diagnosis
bacterialmeningitis;diagnosis;G00;Neurologie;diagnosis
biliaryatresia;diagnosis;Q44;Gastroentérologie;diagnosis
biliarycancer;diagnosis;C24;Oncologie;diagnosis
biliarycolic;diagnosis;K80;Gastroentérologie;diagnosis
biliarydisease;diagnosis;K83;Gastroentérologie;diagnosis
bladdercancer;diagnosis;C67;Oncologie;diagnosis
bladderoutletobstruction;diagnosis;N32;Urologie;diagnosis
bleedingdisorder;diagnosis;D68;Hématologie;diagnosis
blindness;diagnosis;H54;Ophtalmologie;diagnosis
boinc;diagnosis;G08;Neurologie;diagnosis
bonecancer;diagnosis;C40;Oncologie;diagnosis
brainabnormality;diagnosis;Q04;Neurologie;diagnosis
braincancer;diagnosis;C71;Oncologie;diagnosis
bronchiectasis;diagnosis;J47;Pneumologie;diagnosis
bronchiolitis;diagnosis;J21;Pneumologie;diagnosis
bronchitis;diagnosis;J40;Pneumologie;diagnosis
bronchopulmonarydysplasia;diagnosis;P27;Pédiatrie;diagnosis
cardiaccatheterization;diagnosis;Z01;Cardiologie;diagnosis
cardiacmalformation;diagnosis;Q20;Cardiologie;diagnosis
cardiomyopathy;diagnosis;I42;Cardiologie;diagnosis
carotidarteryocclusion;diagnosis;I65;Chirurgie vasculaire;diagnosis
celiacdisease;diagnosis;K90;Gastroentérologie;diagnosis
cerebralaneurysm;diagnosis;I67;Neurologie;diagnosis
cerebralhemorrhage;diagnosis;I61;Neurologie;diagnosis
cerebralinfarction;diagnosis;I63;Neurologie;diagnosis
cerebralpalsy;diagnosis;G80;Neurologie;diagnosis
cerebrovascularmalformation;diagnosis;Q28;Neurologie;diagnosis
cervicalcancer;diagnosis;C53;Oncologie;diagnosis
cervicaldysplasia;diagnosis;N87;Gynécologie;diagnosis
charcotmarietoothdisease;diagnosis;G60;Neurologie;diagnosis
cheeckbonefracture;diagnosis;S02;Traumatologie;diagnosis
choanalatresia;diagnosis;Q30;ORL;diagnosis
cholecystitis;diagnosis;K81;Gastroentérologie;diagnosis
cholera;diagnosis;A00;Infectiologie;diagnosis
cholestasis;diagnosis;K83;Gastroentérologie;diagnosis
chondrodysplasia;diagnosis;Q77;Orthopédie;diagnosis
chronicbronchitis;diagnosis;J41;Pneumologie;diagnosis
chronicfatigue;diagnosis;G93;Neurologie;diagnosis
chronickidneydisease;diagnosis;N18;Néphrologie;diagnosis
chroniclymphocyticleukemia;diagnosis;C91;Hématologie;diagnosis
chronicmyeloidleukemia;diagnosis;C92;Hématologie;diagnosis
chronicobstructive;diagnosis;J44;Pneumologie;diagnosis
chronicpancreatitis;diagnosis;K86;Gastroentérologie;diagnosis
chronicpharyngitis;diagnosis;J31;ORL;diagnosis
chronicrespiratoryfailure;diagnosis;J96;Pneumologie;diagnosis
chronicrheumaticheartdisease;diagnosis;I09;Cardiologie;diagnosis
chylothorax;diagnosis;J94;Pneumologie;diagnosis
cirrhosis;diagnosis;K74;Hépatologie;diagnosis
cleftlip;diagnosis;Q36;Chirurgie maxillo-faciale;diagnosis
cleftpalate;diagnosis;Q35;Chirurgie maxillo-faciale;diagnosis
clostridiumdifficile;diagnosis;A04;Infectiologie;diagnosis
coarctationofaorta;diagnosis;Q25;Cardiologie;diagnosis
coccyxfracture;diagnosis;S32;Traumatologie;diagnosis
colitis;diagnosis;K52;Gastroentérologie;diagnosis
colorectalcancer;diagnosis;C18;Oncologie;diagnosis
commoncold;diagnosis;J00;ORL;diagnosis
concussion;diagnosis;S06;Traumatologie;diagnosis
congenitaladrenalhyperplasia;diagnosis;E25;Endocrinologie;diagnosis
congenitalanomaly;diagnosis;Q89;Pédiatrie;diagnosis
congenitalheartdisease;diagnosis;Q24;Cardiologie;diagnosis
congenitalhipdislocation;diagnosis;Q65;Orthopédie;diagnosis
congenitalhydrocephalus;diagnosis;Q03;Neurologie;diagnosis
conjunctivitis;diagnosis;H10;Ophtalmologie;diagnosis
contactdermatitis;diagnosis;L23;Dermatologie;diagnosis
cornealulcer;diagnosis;H16;Ophtalmologie;diagnosis
coronaryatherosclerosis;diagnosis;I25;Cardiologie;diagnosis
coronaryheartdisease;diagnosis;I25;Cardiologie;diagnosis
corticaldysplasia;diagnosis;Q04;Neurologie;diagnosis
cough;diagnosis;R05;Autre;diagnosis
craniosynostosis;diagnosis;Q75;Chirurgie maxillo-faciale;diagnosis
craniotomy;diagnosis;Z47;Neurochirurgie;diagnosis
crohnsdisease;diagnosis;K50;Gastroentérologie;diagnosis
cryptorchidism;diagnosis;Q53;Urologie;diagnosis
cushingsyndrome;diagnosis;E24;Endocrinologie;diagnosis
cysticfibrosis;diagnosis;E84;Pédiatrie;diagnosis
deafness;diagnosis;H91;ORL;diagnosis
deepveinthrombosis;diagnosis;I80;Chirurgie vasculaire;diagnosis
dehydration;diagnosis;E86;Nutrition;diagnosis
delayedpuberty;diagnosis;E30;Endocrinologie;diagnosis
dementia;diagnosis;F03;Neurologie;diagnosis
dentalcaries;diagnosis;K02;Dentaire;diagnosis
dermatitis;diagnosis;L30;Dermatologie;diagnosis
developmentaldisorder;diagnosis;F89;Psychiatrie;diagnosis
diabetesinsipidus;diagnosis;E23;Endocrinologie;diagnosis
diabetesmellitus;diagnosis;E14;Endocrinologie;diagnosis
diabeticfootulcer;diagnosis;E14;Endocrinologie;diagnosis
diabeticneuropathy;diagnosis;G63;Endocrinologie;diagnosis
diabeticretinopathy;diagnosis;H36;Endocrinologie;diagnosis
diagnosis_other;diagnosis;;Autre;diagnosis
diaphragmatichernia;diagnosis;Q79;Chirurgie;diagnosis
diarrhea;diagnosis;R19;Gastroentérologie;diagnosis
discoidmeniscus;diagnosis;M23;Orthopédie;diagnosis
discoidmeniscusother;diagnosis;M23;Orthopédie;diagnosis
dislocationhip;diagnosis;S73;Orthopédie;diagnosis
dislocationknee;diagnosis;S83;Orthopédie;diagnosis
dislocationshoulder;diagnosis;S43;Orthopédie;diagnosis
disordersofconsciousness;diagnosis;R40;Neurologie;diagnosis
diverticulitis;diagnosis;K57;Gastroentérologie;diagnosis
downsyndrome;diagnosis;Q90;Génétique;diagnosis
duodenalcancer;diagnosis;C17;Oncologie;diagnosis
dvt;diagnosis;I80;Chirurgie vasculaire;diagnosis
dyslipidemia;diagnosis;E78;Endocrinologie;diagnosis
earinfection;diagnosis;H66;ORL;diagnosis
ebsteinanomaly;diagnosis;Q22;Cardiologie;diagnosis
ectopicpregnancy;diagnosis;O00;Gynécologie;diagnosis
eczema;diagnosis;L30;Dermatologie;diagnosis
emphysema;diagnosis;J43;Pneumologie;diagnosis
encephalitis;diagnosis;G04;Neurologie;diagnosis
encephalopathy;diagnosis;G93;Neurologie;diagnosis
endocarditis;diagnosis;I33;Cardiologie;diagnosis
endometrialcancer;diagnosis;C54;Gynécologie;diagnosis
endometriosis;diagnosis;N80;Gynécologie;diagnosis
epilepsy;diagnosis;G40;Neurologie;diagnosis
epistaxis;diagnosis;R04;ORL;diagnosis
erythemanodosum;diagnosis;L52;Dermatologie;diagnosis
esophagealatresia;diagnosis;Q39;Chirurgie;diagnosis
esophagealcancer;diagnosis;C15;Oncologie;diagnosis
esophagitis;diagnosis;K20;Gastroentérologie;diagnosis
essentialthrombocythemia;diagnosis;D47;Hématologie;diagnosis
fattyliver;diagnosis;K76;Hépatologie;diagnosis
febrileseizure;diagnosis;R56;Pédiatrie;diagnosis
femoralfracture;diagnosis;S72;Traumatologie;diagnosis
fetalbradycardia;diagnosis;O76;Obstétrique;diagnosis
fetalhydrops;diagnosis;P56;Pédiatrie;diagnosis
fetalmalformation;diagnosis;O35;Obstétrique;diagnosis
fetalneuroblastoma;diagnosis;C74;Oncologie;diagnosis
fibromyalgia;diagnosis;M79;Rhumatologie;diagnosis
fibrosis;diagnosis;J84;Pneumologie;diagnosis
fibrtherm;diagnosis;T86;Soins intensifs;diagnosis
fractureclavicle;diagnosis;S42;Traumatologie;diagnosis
fracturefoot;diagnosis;S92;Traumatologie;diagnosis
fracturehumerus;diagnosis;S42;Traumatologie;diagnosis
fractureleg;diagnosis;S82;Traumatologie;diagnosis
fracturepelvis;diagnosis;S32;Traumatologie;diagnosis
fractureradius;diagnosis;S52;Traumatologie;diagnosis
fracturethoracicspine;diagnosis;S22;Traumatologie;diagnosis
fracturetibia;diagnosis;S82;Traumatologie;diagnosis
fracturetoe;diagnosis;S92;Traumatologie;diagnosis
fractureulna;diagnosis;S52;Traumatologie;diagnosis
furuncle;diagnosis;L02;Dermatologie;diagnosis
